Run,RunTime
1,3.079913854598999
2,3.524141311645508
3,3.05709171295166
4,3.433913230895996
5,3.2282726764678955
6,3.495999574661255
7,3.3546085357666016
8,2.980083465576172
9,2.865938186645508
